Designator,Mid X,Mid Y,Rotation,Layer
D1,-68.819679,83.26408,270.0,top
D10,-23.819679,83.26408,270.0,top
D11,-18.819679,80.76408,270.0,top
D12,-13.819679,78.26408,270.0,top
D13,-68.819679,68.26408,270.0,top
D14,-63.819679,65.76408,270.0,top
D15,-58.819679,63.26408,270.0,top
D16,-53.819679,68.26408,270.0,top
D17,-48.819679,65.76408,270.0,top
D18,-43.819679,63.26408,270.0,top
D19,-38.819679,68.26408,270.0,top
D2,-53.819679,83.26408,270.0,top
D20,-33.819679,65.76408,270.0,top
D21,-28.819679,63.26408,270.0,top
D22,114.745603,68.26408,270.0,top
D23,109.745603,65.76408,270.0,top
D24,104.745603,63.26408,270.0,top
D25,129.745603,68.26408,270.0,top
D26,124.745603,65.76408,270.0,top
D27,119.745603,63.26408,270.0,top
D28,84.745603,83.26408,270.0,top
D29,79.745603,80.76408,270.0,top
D3,-38.819679,83.26408,270.0,top
D30,74.745603,78.26408,270.0,top
D31,99.745603,83.26408,270.0,top
D32,94.745603,80.76408,270.0,top
D33,89.745603,78.26408,270.0,top
D34,89.745603,63.26408,270.0,top
D35,114.745603,83.26408,270.0,top
D36,109.745603,80.76408,270.0,top
D37,104.745603,78.26408,270.0,top
D38,94.745603,65.76408,270.0,top
D39,129.745603,83.26408,270.0,top
D4,-63.819679,80.76408,270.0,top
D40,124.745603,80.76408,270.0,top
D41,119.745603,78.26408,270.0,top
D42,99.745603,68.26408,270.0,top
D5,-48.819679,80.76408,270.0,top
D6,-33.819679,80.76408,270.0,top
D7,-58.819679,78.26408,270.0,top
D8,-43.819679,78.26408,270.0,top
D9,-28.819679,78.26408,270.0,top
J2,30.462839,6.033976,90.0,top
S1,30.462839,39.233976,0.0,top
